scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,contingency_id,contingency_type,element_table,element_index,element_name,description,converged,power_flow_run,pf_status,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,unserved_load_mw,critical_unserved_load_mw,n_unserved_buses,non_convergence_violation,service_loss_violation,critical_service_loss_violation,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,violation_label,severity_score,state_restoration_passed
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.06799999999999999,0.027000000000000003,5,False,True,True,False,False,False,False,True,1.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.052,0.027000000000000003,4,False,True,True,False,False,False,False,True,1.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.016,0.0,1,False,True,False,False,False,False,False,True,0.8,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.979596717857903,1.0000358028273966,0.12379444041659662,46.680153984836814,0.06893244228664044,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.011,0.0,1,False,True,False,False,False,False,False,True,0.5499999999999999,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.01,0.01,1,False,True,True,False,False,False,False,True,1.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.9795967211809586,1.0000358028353686,0.12379443921899626,46.68011834630018,0.06893244130080695,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9795967211809586,1.0000358028353686,0.12379443921899626,46.68011834630018,0.06893244130080695,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.9795967211809586,1.0000358028353686,0.12379443921899626,46.68011834630018,0.06893244130080695,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.9795967211809586,1.0000358028353686,0.12379443921899626,46.68011834630018,0.06893244130080695,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.06799999999999999,0.027000000000000003,5,True,True,True,False,False,False,False,True,1.0,True
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.08499999999999999,0.03375,5,False,True,True,False,False,False,False,True,1.0,True
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.065,0.03375,4,False,True,True,False,False,False,False,True,1.0,True
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.02,0.0,1,False,True,False,False,False,False,False,True,1.0,True
