row_id,scenario_id,contingency_id,violation_label,severity_score,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,contingency_type,element_table,element_index,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw,base_mode
r0000,base,line_0_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0001,base,line_1_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0002,base,line_2_out,1,0.8,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0003,base,line_3_out,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,3,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0004,base,line_6_out,1,0.5499999999999999,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,6,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0005,base,line_7_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,7,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0006,base,pv_0_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0007,base,pv_1_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0008,base,pv_2_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0009,base,bess_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,bess_trip,bess_pair,bess_static_setpoint,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
