group_col,model,fold,n_train,n_test,n_test_groups,test_groups,threshold,n,tp,fp,tn,fn,accuracy,precision,recall,fnr,specificity,roc_auc,auprc,brier,calls_saved_fraction,workload_fraction,missed_violations,predicted_unsafe,predicted_safe
contingency_id,AllUnsafe,0,49,28,4,line_0_out;line_3_out;pcc_outage;pv_2_trip,0.0,28,16,12,0,0,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.5,0.5714285714285714,0.42857142857142855,0.0,1.0,0,28,0
contingency_id,AllUnsafe,1,49,28,4,bess_trip;line_2_out;line_7_out;pv_1_trip,0.0,28,16,12,0,0,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.5,0.5714285714285714,0.42857142857142855,0.0,1.0,0,28,0
contingency_id,AllUnsafe,2,56,21,3,line_1_out;line_6_out;pv_0_trip,0.0,21,15,6,0,0,0.7142857142857143,0.7142857142857143,1.0,0.0,0.0,0.5,0.7142857142857143,0.2857142857142857,0.0,1.0,0,21,0
contingency_id,EngineeringRule,0,49,28,4,line_0_out;line_3_out;pcc_outage;pv_2_trip,0.65,28,16,6,6,0,0.7857142857142857,0.7272727272727273,1.0,0.0,0.5,0.890625,0.9125042492229992,0.1524251973958497,0.21428571428571427,0.7857142857142857,0,22,6
contingency_id,EngineeringRule,1,49,28,4,bess_trip;line_2_out;line_7_out;pv_1_trip,0.65,28,16,0,12,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.06858667809691762,0.42857142857142855,0.5714285714285714,0,16,12
contingency_id,EngineeringRule,2,56,21,3,line_1_out;line_6_out;pv_0_trip,0.65,21,15,0,6,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.06898131591131984,0.2857142857142857,0.7142857142857143,0,15,6
contingency_id,LogisticRegression,0,49,28,4,line_0_out;line_3_out;pcc_outage;pv_2_trip,0.8911688890052578,28,5,5,7,11,0.42857142857142855,0.5,0.3125,0.6875,0.5833333333333334,0.6510416666666666,0.7282202559437467,0.3019579649549433,0.6428571428571429,0.35714285714285715,11,10,18
contingency_id,LogisticRegression,1,49,28,4,bess_trip;line_2_out;line_7_out;pv_1_trip,0.7803880843725747,28,4,0,12,12,0.5714285714285714,1.0,0.25,0.75,1.0,1.0,1.0,0.09652795100475366,0.8571428571428571,0.14285714285714285,12,4,24
contingency_id,LogisticRegression,2,56,21,3,line_1_out;line_6_out;pv_0_trip,0.7777138884692466,21,3,0,6,12,0.42857142857142855,1.0,0.2,0.8,1.0,1.0,1.0,0.08146826683015193,0.8571428571428571,0.14285714285714285,12,3,18
contingency_id,RandomForest,0,49,28,4,line_0_out;line_3_out;pcc_outage;pv_2_trip,0.7618803287586562,28,10,6,6,6,0.5714285714285714,0.625,0.625,0.375,0.5,0.5520833333333334,0.6038914597399504,0.31249402024554435,0.42857142857142855,0.5714285714285714,6,16,12
contingency_id,RandomForest,1,49,28,4,bess_trip;line_2_out;line_7_out;pv_1_trip,0.7425409727842148,28,6,0,12,10,0.6428571428571429,1.0,0.375,0.625,1.0,0.96875,0.9786119711042311,0.13731755330060783,0.7857142857142857,0.21428571428571427,10,6,22
contingency_id,RandomForest,2,56,21,3,line_1_out;line_6_out;pv_0_trip,0.664871359817704,21,3,0,6,12,0.42857142857142855,1.0,0.2,0.8,1.0,1.0,1.0,0.12338983500705257,0.8571428571428571,0.14285714285714285,12,3,18
