row_id,scenario_id,contingency_id,contingency_type,element_table,element_index,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,converged,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,unserved_load_mw,critical_unserved_load_mw,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,non_convergence_violation,service_loss_violation,critical_service_loss_violation,violation_label,severity_score,base_mode,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_converged,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw
r0000,base,line_0_out,line_outage,line,0,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0679999999999999,0.027,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0001,base,line_1_out,line_outage,line,1,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.052,0.027,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0002,base,line_2_out,line_outage,line,2,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.016,0.0,False,False,False,False,False,True,False,1,0.8,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0003,base,line_3_out,line_outage,line,3,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967178579028,1.0000358028273966,0.1237944404165967,46.68015398483675,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0004,base,line_6_out,line_outage,line,6,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.011,0.0,False,False,False,False,False,True,False,1,0.5499999999999999,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0005,base,line_7_out,line_outage,line,7,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.01,0.01,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0006,base,pv_0_trip,pv_trip,asymmetric_sgen,0,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0007,base,pv_1_trip,pv_trip,asymmetric_sgen,1,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0008,base,pv_2_trip,pv_trip,asymmetric_sgen,2,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0009,base,bess_trip,bess_trip,bess_pair,bess_static_setpoint,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0010,base,pcc_outage,pcc_outage,ext_grid,0,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0679999999999999,0.027,False,False,False,False,True,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0011,high_load,line_0_out,line_outage,line,0,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0849999999999999,0.03375,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0012,high_load,line_1_out,line_outage,line,1,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.065,0.03375,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0013,high_load,line_2_out,line_outage,line,2,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.02,0.0,False,False,False,False,False,True,False,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0014,high_load,line_3_out,line_outage,line,3,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660246311072,1.0000457366121511,0.1573741253659677,58.5972027896911,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0015,high_load,line_6_out,line_outage,line,6,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.01375,0.0,False,False,False,False,False,True,False,1,0.6875,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0016,high_load,line_7_out,line_outage,line,7,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0125,0.0125,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0017,high_load,pv_0_trip,pv_trip,asymmetric_sgen,0,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0018,high_load,pv_1_trip,pv_trip,asymmetric_sgen,1,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
