threshold,n,tp,fp,tn,fn,accuracy,precision,recall,fnr,specificity,roc_auc,auprc,brier,calls_saved_fraction,workload_fraction,missed_violations,predicted_unsafe,predicted_safe,model
0.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.5,0.6111111111111112,0.3888888888888889,0.0,1.0,0,18,0,AllUnsafe
1.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.5,0.6111111111111112,0.3888888888888889,0.0,1.0,0,18,0,AllUnsafe
0.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.0,1.0,0,18,0,EngineeringRule
0.16,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.0,1.0,0,18,0,EngineeringRule
0.1624170595849264,18,11,4,3,0,0.7777777777777778,0.7333333333333333,1.0,0.0,0.42857142857142855,0.987012987012987,0.9848484848484849,0.069555809495338,0.16666666666666666,0.8333333333333334,0,15,3,EngineeringRule
0.35112158537537563,18,11,2,5,0,0.8888888888888888,0.8461538461538461,1.0,0.0,0.7142857142857143,0.987012987012987,0.9848484848484849,0.069555809495338,0.2777777777777778,0.7222222222222222,0,13,5,EngineeringRule
0.65,18,11,1,6,0,0.9444444444444444,0.9166666666666666,1.0,0.0,0.8571428571428571,0.987012987012987,0.9848484848484849,0.069555809495338,0.3333333333333333,0.6666666666666666,0,12,6,EngineeringRule
0.6524170595849264,18,9,0,7,2,0.8888888888888888,1.0,0.8181818181818182,0.18181818181818177,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.5,0.5,2,9,9,EngineeringRule
0.7119381544717659,18,8,0,7,3,0.8333333333333334,1.0,0.7272727272727273,0.2727272727272727,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.5555555555555556,0.4444444444444444,3,8,10,EngineeringRule
0.7326853311912271,18,7,0,7,4,0.7777777777777778,1.0,0.6363636363636364,0.36363636363636365,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.6111111111111112,0.3888888888888889,4,7,11,EngineeringRule
0.8411215853753757,18,6,0,7,5,0.7222222222222222,1.0,0.5454545454545454,0.4545454545454546,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.6666666666666666,0.3333333333333333,5,6,12,EngineeringRule
0.8797909022122355,18,5,0,7,6,0.6666666666666666,1.0,0.45454545454545453,0.5454545454545454,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.7222222222222222,0.2777777777777778,6,5,13,EngineeringRule
0.9524170595849263,18,3,0,7,8,0.5555555555555556,1.0,0.2727272727272727,0.7272727272727273,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.8333333333333334,0.16666666666666666,8,3,15,EngineeringRule
0.999,18,2,0,7,9,0.5,1.0,0.18181818181818182,0.8181818181818181,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,0.8888888888888888,0.1111111111111111,9,2,16,EngineeringRule
1.0,18,0,0,7,11,0.3888888888888889,0.0,0.0,1.0,1.0,0.987012987012987,0.9848484848484849,0.069555809495338,1.0,0.0,11,0,18,EngineeringRule
0.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,1.0,1.0,0.03216918329652611,0.0,1.0,0,18,0,LogisticRegression
0.07539628336199991,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,1.0,1.0,0.03216918329652611,0.0,1.0,0,18,0,LogisticRegression
