threshold,TP,FP,TN,FN,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,model
0.0,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,BaselineMLP
9.259657417715061e-06,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,BaselineMLP
1.5127026927075349e-05,11,6,1,0,1.0,0.6470588235294118,0.0,0.05555555555555555,0,BaselineMLP
2.3406895707012154e-05,11,5,2,0,1.0,0.6875,0.0,0.1111111111111111,0,BaselineMLP
0.00026499447994865477,11,4,3,0,1.0,0.7333333333333333,0.0,0.16666666666666666,0,BaselineMLP
0.002516512991860509,11,3,4,0,1.0,0.7857142857142857,0.0,0.2222222222222222,0,BaselineMLP
0.005,11,2,5,0,1.0,0.8461538461538461,0.0,0.2777777777777778,0,BaselineMLP
0.00506416754797101,11,2,5,0,1.0,0.8461538461538461,0.0,0.2777777777777778,0,BaselineMLP
0.007249776273965836,11,1,6,0,1.0,0.9166666666666666,0.0,0.3333333333333333,0,BaselineMLP
0.01,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.015,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.02,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.025,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.03,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.035,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.04,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.045,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.05,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.055,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.06,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.065,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.07,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.075,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.08,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.085,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.09,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.095,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.1,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.105,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.11,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.115,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.12,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.125,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.13,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.135,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.14,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.145,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.15,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.155,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.16,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.165,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.17,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.17500000000000002,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.18,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.185,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.19,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.195,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.2,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.20500000000000002,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.21,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.215,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.22,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.225,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.23,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.23500000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.24,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.245,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.25,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.255,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.26,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.265,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.27,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.275,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.28,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.28500000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.29,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.295,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.3,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.305,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.31,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.315,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.32,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.325,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.33,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.335,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.34,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.34500000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.35000000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.355,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.36,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.365,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.37,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.375,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.38,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.385,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.39,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.395,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.4,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.405,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.41000000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.41500000000000004,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.42,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.425,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.43,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.435,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.44,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.445,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.45,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.455,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.46,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.465,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.47000000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.47500000000000003,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.48,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.485,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.49,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.495,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.5,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.505,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.51,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.515,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.52,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
