k,pf_call_fraction,mean_violation_recall_at_k,min_violation_recall_at_k,severe_hit_rate_at_k
1,0.09090909090909091,0.15584415584415584,0.09090909090909091,1.0
2,0.18181818181818182,0.3116883116883117,0.18181818181818182,1.0
3,0.2727272727272727,0.4675324675324675,0.2727272727272727,1.0
4,0.36363636363636365,0.5757575757575758,0.36363636363636365,1.0
5,0.45454545454545453,0.6363636363636364,0.45454545454545453,1.0
6,0.5454545454545454,0.7922077922077921,0.5454545454545454,1.0
7,0.6363636363636364,0.9480519480519481,0.6363636363636364,1.0
8,0.7272727272727273,0.961038961038961,0.7272727272727273,1.0
9,0.8181818181818182,0.974025974025974,0.8181818181818182,1.0
10,0.9090909090909091,0.987012987012987,0.9090909090909091,1.0
11,1.0,1.0,1.0,1.0
