stage,model,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,auprc,auroc
Week 5 ML baseline,GradientBoosting,1.0,1.0,0.0,0.4,0,1.0,1.0
Week 6 PI-MLP,PI-MLP full,1.0,1.0,0.0,0.4,0,1.0,1.0
Week 7 GNN,FlattenedMLP,1.0,1.0,0.0,0.4,0,1.0,1.0
Week 5 ML baseline,EngineeringRule,1.0,0.8571428571428571,0.0,0.3,0,0.91005291005291,0.90625
Week 6 PI-MLP,BaselineMLP,1.0,0.8571428571428571,0.0,0.3,0,1.0,1.0
Week 5 ML baseline,AllUnsafe,1.0,0.6,0.0,0.0,0,0.6,0.5
Week 5 ML baseline,MLP,1.0,0.6,0.0,0.0,0,0.5333957648102385,0.2395833333333333
Week 5 ML baseline,LogisticRegression,0.8333333333333334,1.0,0.1666666666666666,0.5,2,1.0,1.0
Week 5 ML baseline,RandomForest,0.8333333333333334,0.9090909090909092,0.1666666666666666,0.45,2,0.9559824434824434,0.9375
Week 7 GNN,PhaseAwareGNN,0.5833333333333334,0.875,0.4166666666666667,0.6,5,0.9125432437932438,0.875
