stage,model,cv_type,folds,mean_recall,mean_fnr,mean_pf_calls_saved,mean_auprc,missed_violations_sum
Week 5 ML baseline,EngineeringRule,scenario_group,3,1.0,0.0,0.3232323232323232,0.9117889833278848,0.0
Week 5 ML baseline,AllUnsafe,scenario_group,3,1.0,0.0,0.0,0.5959595959595959,0.0
Week 5 ML baseline,LogisticRegression,scenario_group,3,0.927536231884058,0.072463768115942,0.4393939393939394,0.990366634864386,5.0
Week 5 ML baseline,RandomForest,scenario_group,3,0.8985507246376812,0.1014492753623188,0.4747474747474747,0.9896867094403108,7.0
Week 5 ML baseline,EngineeringRule,contingency_group,3,1.0,0.0,0.3095238095238095,0.9708347497409998,0.0
Week 5 ML baseline,AllUnsafe,contingency_group,3,1.0,0.0,0.0,0.6190476190476191,0.0
Week 5 ML baseline,RandomForest,contingency_group,3,0.3999999999999999,0.6,0.6904761904761904,0.8608344769480606,28.0
Week 5 ML baseline,LogisticRegression,contingency_group,3,0.2541666666666666,0.7458333333333332,0.7857142857142857,0.9094067519812488,35.0
Week 6 PI-MLP,PI-MLP full,contingency_group,3,0.7597222222222223,0.2402777777777777,0.4126984126984127,0.8770751398798998,
Week 6 PI-MLP,PI-MLP full,scenario_group,3,0.927536231884058,0.072463768115942,0.207070707070707,0.9419115725604726,
Week 7 GNN,PhaseAwareGNN,contingency_group,11,0.8961038961038962,0.1038961038961038,0.2467532467532467,,8.0
Week 7 GNN,PhaseAwareGNN,scenario_group,7,0.6904761904761905,0.3095238095238096,0.4675324675324675,,18.0
